company,country,sector
AD Plastik,Croatia,Industrial
ACI (Adriatic Croatia International Club),Croatia,Tourism
Adris Grupa,Croatia,Holding
Agram Banka,Croatia,Bank
Agro Invest Grupa,Croatia,Agriculture
Alpha Adriatic,Croatia,Shipping
Arena Hospitality Group,Croatia,Tourism
Atlantic Grupa,Croatia,Food & Consumer
Auto Hrvatska,Croatia,Retail
Bosqar,Croatia,Holding
Brodogradilište Viktor Lenac,Croatia,Shipbuilding
CIAK Grupa,Croatia,Holding
Croatia Airlines,Croatia,Transport
Croatia osiguranje,Croatia,Insurance
Čakovečki mlinovi,Croatia,Food
Čateks,Croatia,Textiles
Dalekovod,Croatia,Engineering & Construction
Đuro Đaković Grupa,Croatia,Industrial
Ericsson Nikola Tesla,Croatia,Telecom equipment
Erste&Steiermärkische Bank,Croatia,Bank
Granolio,Croatia,Food
Helios Faros,Croatia,Tourism
Hrvatska osiguravajuća kuća (HOK),Croatia,Insurance
Hrvatska poštanska banka (HPB),Croatia,Bank
Hrvatski Telekom,Croatia,Telecom
Ilirija,Croatia,Tourism
Imperial Riviera,Croatia,Tourism
INA - Industrija nafte,Croatia,Energy
Ing-Grad,Croatia,Construction
Ingra,Croatia,Engineering & Construction
Institut IGH,Croatia,Engineering
Istarska kreditna banka Umag,Croatia,Bank
Jadran - Galenski laboratorij (JGL),Croatia,Pharma
Jadran (Crikvenica),Croatia,Tourism
Jadranski naftovod (JANAF),Croatia,Energy
Jadroagent,Croatia,Shipping & Logistics
Jadroplov,Croatia,Shipping
Končar - Distributivni i specijalni transformatori,Croatia,Industrial
Končar - Elektroindustrija,Croatia,Industrial
Kraš,Croatia,Food
Kutjevo,Croatia,Food & Wine
Lanište,Croatia,Construction
Liburnia Riviera Hoteli,Croatia,Tourism
Lošinjska plovidba - Holding,Croatia,Shipping
Luka Ploče,Croatia,Ports & Logistics
Luka Rijeka,Croatia,Ports & Logistics
Maistra,Croatia,Tourism
Maraska,Croatia,Beverages
Modra špilja,Croatia,Tourism
Mon Perin,Croatia,Tourism
Plava laguna,Croatia,Tourism
Podravka,Croatia,Food
Podravska banka,Croatia,Bank
Professio Energia,Croatia,Energy
Quattro logistika,Croatia,Logistics
Slatinska banka,Croatia,Bank
Stanovi Jadran,Croatia,Real estate
Tehnika,Croatia,Construction
Tekstilpromet,Croatia,Retail
Terra Firma,Croatia,Real estate
The Garden Collective,Croatia,Holding
Tokić,Croatia,Retail & Distribution
Valamar Riviera,Croatia,Tourism
Villa Dubrovnik,Croatia,Tourism
Vis (hotels),Croatia,Tourism
Vodoprivreda Zagreb,Croatia,Utilities
Zagrebačka banka,Croatia,Bank
Zagrebačka burza (Zagreb Stock Exchange),Croatia,Financial services
Zagrebačke pekarne Klara,Croatia,Food
Zagrebački holding,Croatia,Utilities
Žito,Croatia,Food & Agriculture
