company,country,sector
A.P. Møller - Mærsk,Denmark,Industrials
AaB,Denmark,Consumer Discretionary
Agat Ejendomme,Denmark,Real Estate
AGF,Denmark,Consumer Discretionary
AL Sydbank,Denmark,Financials
ALK-Abelló,Denmark,Health Care
Alm. Brand,Denmark,Financials
Ambu,Denmark,Health Care
Bang & Olufsen,Denmark,Consumer Discretionary
Bavarian Nordic,Denmark,Health Care
BioMar Group,Denmark,Consumer Staples
BioPorto,Denmark,Health Care
Brd. Klee,Denmark,Industrials
Brdr. A & O Johansen,Denmark,Industrials
Brøndby IF,Denmark,Consumer Discretionary
Carlsberg,Denmark,Consumer Staples
Cemat,Denmark,Real Estate
ChemoMetec,Denmark,Health Care
Coloplast,Denmark,Health Care
Copenhagen Capital Stam,Denmark,Real Estate
D/S Norden,Denmark,Industrials
Danske Andelskassers Bank,Denmark,Financials
Danske Bank,Denmark,Financials
Dantax,Denmark,Consumer Discretionary
Demant,Denmark,Health Care
DFDS,Denmark,Industrials
Djurslands Bank,Denmark,Financials
DSV,Denmark,Industrials
Ennogie Solar Group,Denmark,Energy
Fast Ejendom Danmark,Denmark,Real Estate
FirstFarms,Denmark,Consumer Staples
FLSmidth & Co.,Denmark,Industrials
Flügger group,Denmark,Industrials
Fynske Bank,Denmark,Financials
Gabriel Holding,Denmark,Consumer Discretionary
Genmab,Denmark,Health Care
German High Street Properties,Denmark,Real Estate
Glunz & Jensen Holding,Denmark,Industrials
GN Store Nord,Denmark,Health Care
GreenMobility,Denmark,Industrials
Grønlandsbanken,Denmark,Financials
Gubra,Denmark,Health Care
Gyldendal,Denmark,Consumer Discretionary
H+H International,Denmark,Industrials
H. Lundbeck,Denmark,Health Care
Harboes Bryggeri,Denmark,Consumer Staples
HusCompagniet,Denmark,Consumer Discretionary
Hvidbjerg Bank,Denmark,Financials
InstallatørGruppen,Denmark,Industrials
Investeringsselsk af 3.nov2025,Denmark,Industrials
ISS,Denmark,Industrials
Jeudan,Denmark,Real Estate
Jyske Bank,Denmark,Financials
Kreditbanken,Denmark,Financials
Københavns Lufthavne,Denmark,Industrials
Lollands Bank,Denmark,Financials
Luxor,Denmark,Financials
Lån og Spar Bank,Denmark,Financials
Matas,Denmark,Consumer Discretionary
MT Højgaard Holding,Denmark,Industrials
Møns Bank,Denmark,Financials
NewCap Holding,Denmark,Financials
NKT,Denmark,Industrials
North Media,Denmark,Consumer Discretionary
Novo Nordisk,Denmark,Health Care
Novonesis (Novozymes),Denmark,Health Care
NTG Nordic Transport Group,Denmark,Industrials
Pandora,Denmark,Consumer Discretionary
Papirfabrikken Invest,Denmark,Consumer Discretionary
Park Street,Denmark,Real Estate
PARKEN Sport & Entertainment,Denmark,Consumer Discretionary
Per Aarsleff Holding,Denmark,Industrials
Pharma Equity Group,Denmark,Health Care
Prime Office,Denmark,Real Estate
Rias,Denmark,Industrials
Ringkjøbing Landbobank,Denmark,Financials
Roblon,Denmark,Industrials
Rockwool,Denmark,Industrials
Rovsing,Denmark,Industrials
Royal UNIBREW,Denmark,Consumer Staples
RTX,Denmark,Telecommunications
Scandinavian Investment Group,Denmark,Industrials
Scandinavian Tobacco Group,Denmark,Consumer Staples
Schouw & Co.,Denmark,Industrials
SJF Bank,Denmark,Financials
Skjern Bank,Denmark,Financials
Solar,Denmark,Industrials
SP Group,Denmark,Industrials
Strategic Investments,Denmark,Financials
Strategic Partners,Denmark,Health Care
TCM Group,Denmark,Consumer Discretionary
Tivoli A/S,Denmark,Consumer Discretionary
Tryg,Denmark,Financials
Vestas Wind Systems,Denmark,Energy
Zealand Pharma,Denmark,Health Care
Ørsted,Denmark,Utilities
Østasiatiske Kompagni,Denmark,Industrials
