company,country,segment,sector
1&1 AG,Germany,Prime Standard,Telecommunication
11 88 0 SOLUTIONS AG,Germany,Prime Standard,Telecommunication
3U HOLDING AG,Germany,Prime Standard,Industrial
ADIDAS AG,Germany,Prime Standard,Consumer
AIXTRON SE,Germany,Prime Standard,Technology
Allane SE,Germany,Prime Standard,Financial Services
ALLIANZ SE,Germany,Prime Standard,Insurance
ALZCHEM GROUP AG,Germany,Prime Standard,Chemicals
AMADEUS FIRE AG,Germany,Prime Standard,Industrial
Arzneiwerk AG VIDA,Germany,Prime Standard,Technology
AUMANN AG,Germany,Prime Standard,Industrial
AUMOVIO SE,Germany,Prime Standard,Automobile
AURUBIS AG,Germany,Prime Standard,Basic Resources
AUTO1 GROUP SE,Germany,Prime Standard,Retail
BASF SE,Germany,Prime Standard,Chemicals
BASLER AG,Germany,Prime Standard,Industrial
BASTEI LUEBBE AG,Germany,Prime Standard,Media
BAYERISCHE MOTOREN WERKE AG (BMW),Germany,Prime Standard,Automobile
BAYER AG,Germany,Prime Standard,Pharma & Healthcare
BAYWA AG,Germany,Prime Standard,Industrial
BEIERSDORF AG,Germany,Prime Standard,Consumer
BERTRANDT AG,Germany,Prime Standard,Industrial
BET-AT-HOME.COM AG,Germany,Prime Standard,Retail
BIKE24 HOLDING AG,Germany,Prime Standard,Retail
BILFINGER SE,Germany,Prime Standard,Industrial
BIOFRONTERA AG,Germany,Prime Standard,Pharma & Healthcare
BORUSSIA DORTMUND,Germany,Prime Standard,Media
BRAIN BIOTECH AG,Germany,Prime Standard,Chemicals
BRANICKS Group AG,Germany,Prime Standard,Financial Services
BRENNTAG SE,Germany,Prime Standard,Industrial
BROCKHAUS TECHNOLOGIES AG,Germany,Prime Standard,Financial services
CARL ZEISS MEDITEC AG,Germany,Prime Standard,Pharma & Healthcare
CECONOMY AG,Germany,Prime Standard,Retail
CEWE STIFTUNG KGAA,Germany,Prime Standard,Consumer
CHERRY SE,Germany,Prime Standard,Technology
COMMERZBANK AG,Germany,Prime Standard,Banks
CONTINENTAL AG,Germany,Prime Standard,Automobile
CTS EVENTIM KGAA,Germany,Prime Standard,Media
DAIMLER TRUCK HOLDING AG,Germany,Prime Standard,Industrial
DATA MODUL AG,Germany,Prime Standard,Technology
DELIVERY HERO SE,Germany,Prime Standard,Retail
DELTICOM AG,Germany,Prime Standard,Retail
DEMIRE DEUTSCHE MITTELSTAND REAL ESTATE AG,Germany,Prime Standard,Financial Services
DERMAPHARM HOLDING,Germany,Prime Standard,Pharma & Healthcare
DEUTSCHE BANK AG,Germany,Prime Standard,Banks
DEUTSCHE BOERSE,Germany,Prime Standard,Financial Services
DEUTSCHE EUROSHOP SE,Germany,Prime Standard,Financial Services
DEUTSCHE POST AG,Germany,Prime Standard,Transportation & Logistics
DEUTZ AG,Germany,Prime Standard,Industrial
DMG MORI AG,Germany,Prime Standard,Industrial
DOUGLAS AG,Germany,Prime Standard,Retail
DRAEGERWERK,Germany,Prime Standard,Pharma & Healthcare
DEUTSCHE KONSUM REIT-AG,Germany,Prime Standard,Financial Services
DEUTSCHE BETEILIGUNGS AG,Germany,Prime Standard,Financial Services
DEUTSCHE PFANDBRIEFBANK AG,Germany,Prime Standard,Banks
DEUTSCHE TELEKOM AG,Germany,Prime Standard,Telecommunication
DUERR AG,Germany,Prime Standard,Industrial
DWS GROUP GMBH & CO. KGAA,Germany,Prime Standard,Financial Services
E.ON SE,Germany,Prime Standard,Utilities
ECKERT & ZIEGLER SE,Germany,Prime Standard,Pharma & Healthcare
EINHELL GERMANY,Germany,Prime Standard,Consumer
ELMOS SEMICONDUCTOR,Germany,Prime Standard,Technology
ELRINGKLINGER AG,Germany,Prime Standard,Automobile
ELUMEO SE,Germany,Prime Standard,Retail
EVONIK INDUSTRIES AG,Germany,Prime Standard,Chemicals
EVOTEC SE,Germany,Prime Standard,Pharma & Healthcare
FIELMANN AG,Germany,Prime Standard,Retail
FIRST SENSOR AG,Germany,Prime Standard,Technology
FLATEXDEGIRO SE,Germany,Prime Standard,Financial Services
FORMYCON AG,Germany,Prime Standard,Pharma & Healthcare
FORTEC ELEKTRO.,Germany,Prime Standard,Technology
FRAPORT AG,Germany,Prime Standard,Transportation & Logistics
FREENET AG,Germany,Prime Standard,Telecommunication
FRESENIUS MEDICAL CARE AG,Germany,Prime Standard,Pharma & Healthcare
FRESENIUS SE & CO. KGAA,Germany,Prime Standard,Pharma & Healthcare
FRIEDRICH VORWERK GROUP SE,Germany,Prime Standard,Industrial
FUCHS SE,Germany,Prime Standard,Chemicals
GEA GROUP AG,Germany,Prime Standard,Industrial
GERRESHEIMER AG,Germany,Prime Standard,Pharma & Healthcare
GESCO SE,Germany,Prime Standard,Industrial
GRAMMER AG,Germany,Prime Standard,Automobile
GRENKE AG,Germany,Prime Standard,Financial Services
HAMBORNER REIT AG,Germany,Prime Standard,Financial Services
HAMBURGER HAFEN UND LOGISTIK A-SP,Germany,Prime Standard,Transportation & Logistics
HANNOVER RUECK SE,Germany,Prime Standard,Insurance
HAPAG-LLOYD AG,Germany,Prime Standard,Transportation & Logistics
HAWESKO HOLDING SE,Germany,Prime Standard,Retail
HEIDELBERG MATERIALS AG,Germany,Prime Standard,Construction
HEIDELBERG PHARMA AG,Germany,Prime Standard,Pharma & Healthcare
HEIDELBERGER DRUCKMASCHINEN AG,Germany,Prime Standard,Industrial
HELLA GMBH & CO. KGAA,Germany,Prime Standard,Automobile
HELLOFRESH SE,Germany,Prime Standard,Retail
HENKEL AG & CO. KGAA,Germany,Prime Standard,Consumer
HENSOLDT AG,Germany,Prime Standard,Industrial
HGEARS AG,Germany,Prime Standard,Automobile
HOCHTIEF AG,Germany,Prime Standard,Construction
HOENLE AG,Germany,Prime Standard,Industrial
HORNBACH HOLDING,Germany,Prime Standard,Retail
HUGO BOSS AG,Germany,Prime Standard,Consumer
HYPOPORT SE,Germany,Prime Standard,Financial Services
INDUS HOLDING AG,Germany,Prime Standard,Industrial
INFINEON TECHNOLOGIES AG,Germany,Prime Standard,Technology
INSTONE REAL ESTATE GROUP SE,Germany,Prime Standard,Financial Services
INTICA SYSTEMS SE,Germany,Prime Standard,Technology
JENOPTIK AG,Germany,Prime Standard,Industrial
JOST WERKE SE,Germany,Prime Standard,Automobile
JUNGHEINRICH AG,Germany,Prime Standard,Industrial
K & S AG,Germany,Prime Standard,Chemicals
KION GROUP AG,Germany,Prime Standard,Industrial
KNAUS TABBERT AG,Germany,Prime Standard,Automobile
KNORR-BREMSE AG,Germany,Prime Standard,Industrial
KOENIG & BAUER AG,Germany,Prime Standard,Industrial
KRONES AG,Germany,Prime Standard,Industrial
KSB SE & CO. KGAA,Germany,Prime Standard,Industrial
KWS SAAT KGAA,Germany,Prime Standard,Food & Beverages
