company,country,sector
AAK,Sweden,Consumer Staples
AcadeMedia,Sweden,Consumer Discretionary
Acrinova,Sweden,Real Estate
Actic Group,Sweden,Consumer Discretionary
Active Biotech,Sweden,Health Care
AddLife,Sweden,Health Care
Addtech,Sweden,Industrials
AFRY,Sweden,Industrials
Alfa Laval,Sweden,Industrials
Alimak Group,Sweden,Industrials
Alleima,Sweden,Basic Materials
Alligator Bioscience,Sweden,Health Care
Alligo,Sweden,Consumer Discretionary
Altra Fastigheter,Sweden,Real Estate
Alvotech,Sweden,Health Care
Ambea,Sweden,Health Care
Annehem Fastigheter,Sweden,Real Estate
Apotea,Sweden,Consumer Staples
AQ Group,Sweden,Industrials
Arion Banki,Sweden,Financials
Arjo,Sweden,Health Care
Arla Plast,Sweden,Industrials
Ascelia Pharma,Sweden,Health Care
Asker Healthcare Group,Sweden,Health Care
Asmodee Group,Sweden,Consumer Discretionary
ASSA ABLOY,Sweden,Industrials
Atlas Copco,Sweden,Industrials
Atrium Ljungberg,Sweden,Real Estate
Attendo,Sweden,Health Care
Autoliv,Sweden,Consumer Discretionary
Avanza Bank Holding,Sweden,Financials
Avarda Bank,Sweden,Financials
Axfood,Sweden,Consumer Staples
Bactiguard Holding,Sweden,Health Care
Balco Group,Sweden,Industrials
BE Group,Sweden,Basic Materials
Beijer Alma,Sweden,Basic Materials
Beijer Ref,Sweden,Industrials
Bergman & Beving,Sweden,Industrials
Berner Industrier,Sweden,Industrials
Besqab,Sweden,Real Estate
Betsson,Sweden,Consumer Discretionary
BHG Group,Sweden,Consumer Discretionary
BICO Group,Sweden,Health Care
Bilia,Sweden,Consumer Discretionary
Billerud,Sweden,Basic Materials
BioArctic,Sweden,Health Care
BioGaia,Sweden,Health Care
BioInvent International,Sweden,Health Care
Björn Borg,Sweden,Consumer Discretionary
Boliden,Sweden,Basic Materials
Bonava,Sweden,Consumer Discretionary
BONESUPPORT HOLDING,Sweden,Health Care
Bong,Sweden,Industrials
Boozt,Sweden,Consumer Discretionary
Boule Diagnostics,Sweden,Health Care
Bravida Holding,Sweden,Industrials
Brinova Fastigheter,Sweden,Real Estate
BTS Group,Sweden,Industrials
Bufab,Sweden,Industrials
Bulten,Sweden,Consumer Discretionary
Bure Equity,Sweden,Financials
Byggmax Group,Sweden,Consumer Discretionary
Byggmästare A J Ahlström H,Sweden,Industrials
C-RAD,Sweden,Health Care
Camurus,Sweden,Health Care
Cantargia,Sweden,Health Care
Carasent,Sweden,Health Care
Castellum,Sweden,Real Estate
Catella,Sweden,Financials
Catena,Sweden,Real Estate
Cavotec Group,Sweden,Industrials
CellaVision,Sweden,Health Care
Cibus Real Estate,Sweden,Real Estate
Cinclus Pharma Holding,Sweden,Health Care
Clas Ohlson,Sweden,Consumer Discretionary
Cloetta,Sweden,Consumer Staples
Concejo,Sweden,Industrials
Coor Service Management Hold.,Sweden,Industrials
Corem Property Group,Sweden,Real Estate
Creades,Sweden,Financials
CTEK,Sweden,Industrials
CTT Systems,Sweden,Industrials
Cynca Nordic,Sweden,Consumer Discretionary
Dedicare,Sweden,Health Care
Diös Fastigheter,Sweden,Real Estate
Dometic Group,Sweden,Consumer Discretionary
Duni,Sweden,Consumer Staples
Duroc,Sweden,Basic Materials
Eastnine,Sweden,Real Estate
Egetis Therapeutics,Sweden,Health Care
Elanders,Sweden,Industrials
Electrolux,Sweden,Consumer Discretionary
Electrolux Professional,Sweden,Industrials
Elekta,Sweden,Health Care
Ellos Holding,Sweden,Consumer Discretionary
Elon,Sweden,Consumer Discretionary
Eltel,Sweden,Industrials
Embracer Group,Sweden,Consumer Discretionary
Enad Global 7,Sweden,Consumer Discretionary
engcon,Sweden,Industrials
Eniro Group,Sweden,Consumer Discretionary
Enity Holding,Sweden,Financials
Eolus,Sweden,Energy
Ependion,Sweden,Industrials
Epiroc,Sweden,Industrials
Episurf,Sweden,Health Care
EQL Pharma,Sweden,Health Care
EQT,Sweden,Financials
Ericsson,Sweden,Telecommunications
Essity,Sweden,Consumer Staples
Evolution,Sweden,Consumer Discretionary
Ework Group,Sweden,Industrials
Fabege,Sweden,Real Estate
Fagerhult Group,Sweden,Industrials
Fasadgruppen Group,Sweden,Industrials
Fast. Balder,Sweden,Real Estate
Fastator,Sweden,Real Estate
Fastighetsbolag. Emilshus,Sweden,Real Estate
Fastighetsbolaget Emilshus,Sweden,Real Estate
Fastpartner,Sweden,Real Estate
Ferronordic,Sweden,Industrials
Flat Capital,Sweden,Financials
Flerie,Sweden,Financials
FM Mattsson,Sweden,Industrials
Fortinova Fastigheter,Sweden,Real Estate
G5 Entertainment,Sweden,Consumer Discretionary
Genova Property Group,Sweden,Real Estate
Getinge,Sweden,Health Care
Green Landscaping Group,Sweden,Industrials
Gruvaktiebolaget Viscaria,Sweden,Basic Materials
Gränges,Sweden,Basic Materials
HAKI Safety,Sweden,Industrials
Hansa Biopharma,Sweden,Health Care
HANZA,Sweden,Industrials
Havsfrun Investment,Sweden,Financials
HEBA,Sweden,Real Estate
Hemnet Group,Sweden,Real Estate
Hennes & Mauritz,Sweden,Consumer Discretionary
Hexatronic Group,Sweden,Telecommunications
HEXPOL,Sweden,Basic Materials
HMS Networks,Sweden,Telecommunications
Hoist Finance,Sweden,Financials
Holmen,Sweden,Basic Materials
Hufvudstaden,Sweden,Real Estate
Humana,Sweden,Health Care
Humble Group,Sweden,Consumer Staples
Husqvarna,Sweden,Consumer Discretionary
Image Systems,Sweden,Industrials
Immunovia,Sweden,Health Care
Industrivärden,Sweden,Financials
Indutrade,Sweden,Industrials
Infant Bacterial TherapeuticsB,Sweden,Health Care
Infrea,Sweden,Industrials
Inission,Sweden,Industrials
Instalco,Sweden,Industrials
Intea Fastigheter,Sweden,Real Estate
Intrum,Sweden,Financials
Investor,Sweden,Financials
INVISIO,Sweden,Industrials
Inwido,Sweden,Industrials
IRLAB Therapeutics,Sweden,Health Care
Isofol Medical,Sweden,Health Care
ITAB Group,Sweden,Industrials
JM,Sweden,Consumer Discretionary
John Mattson Fastighetsföret.,Sweden,Real Estate
