company,country,sector
Afarak Group,Finland,Basic Materials
Aktia Pankki,Finland,Financials
Alisa Pankki Oyj,Finland,Financials
Alma Media Oyj,Finland,Consumer Discretionary
Anora Group Oyj,Finland,Consumer Staples
Apetit Oyj,Finland,Consumer Staples
AS Tallink Grupp,Finland,Consumer Discretionary
Aspo Oyj,Finland,Industrials
Atria Oyj,Finland,Consumer Staples
Auroora Group,Finland,Industrials
Biohit Oyj,Finland,Health Care
Bittium Oyj,Finland,Industrials
Boreo Oyj,Finland,Industrials
CapMan Oyj,Finland,Financials
Citycon Oyj,Finland,Real Estate
Componenta Oyj,Finland,Basic Materials
Consti Oyj,Finland,Industrials
Dovre Group Oyj,Finland,Industrials
Eezy Oyj,Finland,Industrials
Elecster Oyj,Finland,Industrials
Elisa Oyj,Finland,Telecommunications
Endomines Finland Oyj,Finland,Basic Materials
Enento Group Oyj,Finland,Financials
Enersense International Oyj,Finland,Industrials
eQ Oyj,Finland,Financials
Etteplan Oyj,Finland,Industrials
Evli Oyj,Finland,Financials
Exel Composites Oyj,Finland,Industrials
Finnair Oyj,Finland,Consumer Discretionary
Fiskars Oyj Abp,Finland,Consumer Discretionary
Fortum Oyj,Finland,Utilities
Framery Group,Finland,Consumer Discretionary
Glaston Oyj Abp,Finland,Industrials
GRK Infra Oyj,Finland,Industrials
Harvia Oyj,Finland,Consumer Discretionary
Hiab Oyj,Finland,Industrials
HKFoods Oyj,Finland,Consumer Staples
Honkarakenne Oyj,Finland,Consumer Discretionary
Huhtamäki Oyj,Finland,Industrials
Incap Oyj,Finland,Industrials
Investors House Oyj,Finland,Real Estate
Kalmar Oyj,Finland,Industrials
Kamux Oyj,Finland,Consumer Discretionary
Kemira Oyj,Finland,Basic Materials
Kempower Oyj,Finland,Industrials
Keskisuomalainen Oyj,Finland,Consumer Discretionary
Kesko Oyj,Finland,Consumer Staples
Kesla Oyj,Finland,Industrials
KH Group Oyj,Finland,Industrials
KONE Oyj,Finland,Industrials
Konecranes Oyj,Finland,Industrials
Koskisen Oyj,Finland,Basic Materials
Kreate Group Oyj,Finland,Industrials
Lamor Corporation Oyj,Finland,Utilities
Lassila & Tikanoja,Finland,Utilities
Lehto Group Oyj,Finland,Industrials
Lindex Group Oyj,Finland,Consumer Discretionary
Lumo Kodit Oyj,Finland,Real Estate
Luotea Plc,Finland,Utilities
Mandatum,Finland,Financials
Marimekko Oyj,Finland,Consumer Discretionary
Martela Oyj,Finland,Consumer Discretionary
Metso Oyj,Finland,Industrials
Metsä Board Oyj,Finland,Basic Materials
Musti Group Oyj,Finland,Consumer Discretionary
Neste Oyj,Finland,Energy
Nightingale Health Oyj,Finland,Health Care
NoHo Partners Oyj,Finland,Consumer Discretionary
Nokia Oyj,Finland,Telecommunications
Nokian Renkaat Oyj,Finland,Consumer Discretionary
Nordea Bank Abp,Finland,Financials
Nurminen Logistics Oyj,Finland,Industrials
Olvi Oyj,Finland,Consumer Staples
Oma Säästöpankki Oyj,Finland,Financials
Optomed Oyj,Finland,Health Care
Oriola Oyj,Finland,Health Care
Orion Oyj,Finland,Health Care
Orthex Oyj,Finland,Consumer Discretionary
Outokumpu Oyj,Finland,Basic Materials
Ovaro Kiinteistösijoitus Oyj,Finland,Real Estate
Panostaja Oyj,Finland,Financials
Pihlajalinna Oyj,Finland,Health Care
Ponsse Oyj 1,Finland,Industrials
Posti Group,Finland,Industrials
Puuilo Oyj,Finland,Consumer Discretionary
Raisio Oyj Vaihto-osake,Finland,Consumer Staples
Rapala VMC Oyj,Finland,Consumer Discretionary
Raute Oyj,Finland,Industrials
Rebl Group Oyj,Finland,Consumer Discretionary
Reka Industrial Oyj,Finland,Industrials
Relais Group Oyj,Finland,Consumer Discretionary
Remedy Entertainment Oyj,Finland,Consumer Discretionary
Revenio Group Oyj,Finland,Health Care
Robit Oyj,Finland,Industrials
Saga Furs Oyj,Finland,Consumer Discretionary
Sampo Oyj,Finland,Financials
Sanoma Oyj,Finland,Consumer Discretionary
Savox Communications Oyj,Finland,Telecommunications
Scanfil Oyj,Finland,Industrials
Sitowise Group Oyj,Finland,Industrials
SRV Yhtiöt Oyj,Finland,Industrials
Stora Enso Oyj,Finland,Industrials
Suominen Oyj,Finland,Consumer Staples
Taaleri Oyj,Finland,Financials
Talenom Oyj,Finland,Industrials
Teleste Oyj,Finland,Telecommunications
Terveystalo Oyj,Finland,Health Care
Toivo Group Oyj,Finland,Real Estate
Tokmanni Group Oyj,Finland,Consumer Discretionary
Tulikivi Oyj,Finland,Industrials
United Bankers Oyj,Finland,Financials
UPM-Kymmene Oyj,Finland,Basic Materials
Vaisala Oyj,Finland,Industrials
Valmet Oyj,Finland,Industrials
Verkkokauppa.com Oyj,Finland,Consumer Discretionary
Viking Line Abp,Finland,Consumer Discretionary
Wetteri Oyj,Finland,Consumer Discretionary
Wulff-Yhtiöt Oyj,Finland,Industrials
Wärtsilä Oyj Abp,Finland,Industrials
YIT Oyj,Finland,Industrials
Ålandsbanken Abp,Finland,Financials
