company,country,segment
Aerodrom Nikola Tesla a.d. (Beograd),Serbia,Prime Listing
Fintel energija a.d. (Beograd),Serbia,Prime Listing
Jedinstvo a.d. (Sevojno),Serbia,Prime Listing
Metalac a.d. (Gornji Milanovac),Serbia,Prime Listing
NIS a.d. (Novi Sad),Serbia,Prime Listing
Agrobačka a.d. (Bačka Topola),Serbia,Open Market
Albus a.d. (Novi Sad),Serbia,Open Market
AMS Osiguranje a.d. (Beograd),Serbia,Open Market
Autoprevoz Janjušević a.d. (Priboj),Serbia,Open Market
Autotransport a.d. (Beograd),Serbia,Open Market
Autoventil a.d. (Užice),Serbia,Open Market
Bačka a.d. (Sivac),Serbia,Open Market
Bag a.d. (Bačko Gradište),Serbia,Open Market
BAS a.d. (Beograd),Serbia,Open Market
Be - Be a.d. (Bajina Bašta),Serbia,Open Market
Bečejska Pekara a.d. (Bečej),Serbia,Open Market
Bigz Publishing a.d. (Beograd),Serbia,Open Market
Budućnost a.d. (Preševo),Serbia,Open Market
Chemos a.d. (Palić),Serbia,Open Market
Čoka duvanska industrija a.d. (Čoka),Serbia,Open Market
Čokolend a.d. (Paraćin),Serbia,Open Market
Dimničar a.d. (Beograd),Serbia,Open Market
Dinara a.d. (Beograd),Serbia,Open Market
Dinara Gradnja a.d. (Beograd),Serbia,Open Market
Duga a.d. (Beograd),Serbia,Open Market
Dunav osiguranje a.d. (Beograd),Serbia,Open Market
Dunav Re a.d. (Beograd),Serbia,Open Market
Đokić NTK a.d. (Knjaževac),Serbia,Open Market
Đuro Salaj a.d. (Beograd),Serbia,Open Market
Elektro industrijska servisna mreža a.d. (Beograd),Serbia,Open Market
Energoprojekt holding a.d. (Beograd),Serbia,Open Market
Fabrika hleba i mleka a.d. (Surdulica),Serbia,Open Market
Farmacoop a.d. (Kać),Serbia,Open Market
Fero konstrukcije a.d. (Vranje),Serbia,Open Market
Goša FOM a.d. (Smederevska Palanka),Serbia,Open Market
Grupa Univerexport Bačka a.d. (Bačka Palanka),Serbia,Open Market
Hajdučica a.d. (Hajdučica),Serbia,Open Market
Hemijska industrija a.d. (Vranje),Serbia,Open Market
Homolje a.d. (Žagubica),Serbia,Open Market
Ikarbus a.d. (Beograd),Serbia,Open Market
Impol Seval a.d. (Sevojno),Serbia,Open Market
Inex - bakar a.d. (Majdanpek),Serbia,Open Market
Inex Budućnost a.d. (Požega),Serbia,Open Market
Informatika a.d. (Beograd),Serbia,Open Market
Insa a.d. (Zemun),Serbia,Open Market
Institut za ispitivanje materijala a.d. (Beograd),Serbia,Open Market
Institut za strane jezike a.d. (Beograd),Serbia,Open Market
Institut za tržišna istraživanja a.d. (Beograd),Serbia,Open Market
Invest - Import a.d. (Beograd),Serbia,Open Market
Iritel a.d. (Beograd),Serbia,Open Market
JAA - autorska agencija za Srbiju a.d. (Beograd),Serbia,Open Market
Jedinstvo - metalogradnja a.d. (Sevojno),Serbia,Open Market
Jugoinspekt a.d. (Beograd),Serbia,Open Market
Kopaonik a.d. (Beograd),Serbia,Open Market
Krušik plastika a.d. (Osečina),Serbia,Open Market
Lasta a.d. (Beograd),Serbia,Open Market
Linde gas Srbija a.d. (Bečej),Serbia,Open Market
Lučić Prigrevica a.d. (Novi Sad),Serbia,Open Market
Magistrala a.d. (Beograd),Serbia,Open Market
Megal a.d. (Bujanovac),Serbia,Open Market
Messer Tehnogas a.d. (Beograd),Serbia,Open Market
Metaloplastika a.d. (Čajetina),Serbia,Open Market
Min Div a.d. (Svrljig),Serbia,Open Market
Ming kovačnica a.d. (Niš),Serbia,Open Market
Miroč a.d. (Kladovo),Serbia,Open Market
Mitrosrem a.d. (Sremska Mitrovica),Serbia,Open Market
Mladost a.d. (Aleksandrovac),Serbia,Open Market
NBB Nekretnine a.d. (Beograd),Serbia,Open Market
Nova Peščara a.d. (Deliblato),Serbia,Open Market
Novosadski sajam a.d. (Novi Sad),Serbia,Open Market
Omoljica a.d. (Omoljica),Serbia,Open Market
Palisad a.d. (Zlatibor),Serbia,Open Market
Panonija a.d. (Pančevo),Serbia,Open Market
Philip Morris Operations a.d. (Niš),Serbia,Open Market
Podunavlje a.d. (Bačka Palanka),Serbia,Open Market
Politika a.d. (Beograd),Serbia,Open Market
Poljoprivredna stručna služba Subotica a.d. (Subotica),Serbia,Open Market
Poslovni objekti a.d. (Beograd),Serbia,Open Market
Potisje precizni liv a.d. (Ada),Serbia,Open Market
PP Pobeda a.d. (Pobeda),Serbia,Open Market
PPT Armature a.d. (Aleksandrovac),Serbia,Open Market
Preduzeće za puteve Valjevo a.d. (Valjevo),Serbia,Open Market
Progres a.d. (Beograd),Serbia,Open Market
PTK Panonija a.d. (Panonija),Serbia,Open Market
Putevi a.d. (Požega),Serbia,Open Market
Putevi a.d. (Užice),Serbia,Open Market
Putnik a.d. (Novi Sad),Serbia,Open Market
Rade Končar a.d. (Beograd),Serbia,Open Market
Raketa a.d. (Sevojno),Serbia,Open Market
Rapid a.d. (Apatin),Serbia,Open Market
Rapid a.d. (Beograd),Serbia,Open Market
Ratar a.d. (Pančevo),Serbia,Open Market
Reč naroda a.d. (Požarevac),Serbia,Open Market
Revnost a.d. (Novi Sad),Serbia,Open Market
RTC Šabac a.d. (Šabac),Serbia,Open Market
Rudnik Kovin a.d. (Kovin),Serbia,Open Market
Severni Banat a.d. (Kikinda),Serbia,Open Market
Severtrans a.d. (Sombor),Serbia,Open Market
Simpo a.d. (Vranje),Serbia,Open Market
Sistem FTO 011 a.d. (Beograd),Serbia,Open Market
Sjaj u tami a.d. (Beograd),Serbia,Open Market
Sloga a.d. (Užice),Serbia,Open Market
Srbija Tis a.d. (Zaječar),Serbia,Open Market
Srbijaput a.d. (Beograd),Serbia,Open Market
Srbijatransport a.d. (Beograd),Serbia,Open Market
Stoteks a.d. (Novi Sad),Serbia,Open Market
