company,country,segment
ABB Ltd,Switzerland,International Reporting Standard
Accelleron Industries AG,Switzerland,International Reporting Standard
Addex Therapeutics Ltd,Switzerland,International Reporting Standard
Adecco Group AG,Switzerland,International Reporting Standard
Adval Tech Holding AG,Switzerland,Swiss Reporting Standard
AEVIS VICTORIA SA,Switzerland,Swiss Reporting Standard
Alcon Inc.,Switzerland,International Reporting Standard
Allreal Holding AG,Switzerland,Standard for Real Estate Companies
Alpine Select AG,Switzerland,Standard Sparks
ALSO Holding AG,Switzerland,International Reporting Standard
Amrize Ltd,Switzerland,International Reporting Standard
APG SGA SA,Switzerland,Swiss Reporting Standard
Arbonia AG,Switzerland,International Reporting Standard
ARYZTA AG,Switzerland,International Reporting Standard
Ascom Holding AG,Switzerland,Swiss Reporting Standard
ASMALLWORLD AG,Switzerland,Swiss Reporting Standard
Autoneum Holding AG,Switzerland,International Reporting Standard
Avolta AG,Switzerland,International Reporting Standard
Bachem Holding AG,Switzerland,Swiss Reporting Standard
Banque Cantonale de Genève,Switzerland,Swiss Reporting Standard
Banque Cantonale du Jura SA,Switzerland,Swiss Reporting Standard
Banque Cantonale Vaudoise,Switzerland,Swiss Reporting Standard
Barry Callebaut AG,Switzerland,International Reporting Standard
Basellandschaftliche Kantonalbank,Switzerland,Swiss Reporting Standard
"Basilea Pharmaceutica AG, Allschwil",Switzerland,International Reporting Standard
Basler Kantonalbank,Switzerland,Swiss Reporting Standard
BELIMO Holding AG,Switzerland,International Reporting Standard
Bell Food Group AG,Switzerland,Swiss Reporting Standard
Bellevue Group AG,Switzerland,International Reporting Standard
Bergbahnen Engelberg-Trübsee-Titlis AG,Switzerland,Standard Sparks
Berner Kantonalbank AG,Switzerland,Swiss Reporting Standard
BioVersys AG,Switzerland,International Reporting Standard
BKW AG,Switzerland,International Reporting Standard
Bossard Holding AG,Switzerland,Swiss Reporting Standard
Bucher Industries AG,Switzerland,Swiss Reporting Standard
Burckhardt Compression Holding AG,Switzerland,Swiss Reporting Standard
Burkhalter Holding AG,Switzerland,Swiss Reporting Standard
BVZ Holding AG,Switzerland,Swiss Reporting Standard
Bystronic AG,Switzerland,Swiss Reporting Standard
C Capital Holdings AG,Switzerland,Swiss Reporting Standard
Calida Holding AG,Switzerland,Swiss Reporting Standard
Carlo Gavazzi Holding AG,Switzerland,International Reporting Standard
Cembra Money Bank AG,Switzerland,International Reporting Standard
Centiel AG,Switzerland,Swiss Reporting Standard
Cham Swiss Properties AG,Switzerland,Standard for Real Estate Companies
Chocoladefabriken Lindt & Sprüngli AG,Switzerland,International Reporting Standard
Cicor Technologies Ltd.,Switzerland,Swiss Reporting Standard
Clariant AG,Switzerland,International Reporting Standard
COLTENE Holding AG,Switzerland,Swiss Reporting Standard
Comet Holding AG,Switzerland,International Reporting Standard
Compagnie Financière Richemont SA,Switzerland,International Reporting Standard
Compagnie financière Tradition SA,Switzerland,International Reporting Standard
CPH Group AG,Switzerland,Swiss Reporting Standard
Curatis Holding AG,Switzerland,Swiss Reporting Standard
